Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
merge_sort,reverse_sorted,10,0.1386471489968244,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,10,0.2066821879998315,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,10,0.12222311399818864,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,10,0.11629335299949162,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,10,0.11713007599610137,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,10,0.12095286499970825,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,10,0.11734460799925728,7,2019-11-01 19:50:33.379655
merge_sort,reverse_sorted,20,0.2795734320025076,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,20,0.2915935199998785,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,20,0.22977369200089015,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,20,0.21473988400248345,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,20,0.21748688800289528,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,20,0.22594153699901653,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,20,0.2207485910039395,7,2019-11-01 19:50:35.576746
merge_sort,reverse_sorted,40,0.2219131349993404,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,40,0.2154307609962416,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,40,0.21493479199853027,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,40,0.21949707399471663,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,40,0.21565733599709347,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,40,0.22000553099496756,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,40,0.2208846249995986,7,2019-11-01 19:50:37.498856
merge_sort,reverse_sorted,80,0.4953908870011219,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,80,1.1148634299970581,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,80,0.7480076540014124,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,80,0.7131980129997828,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,80,0.8175087410054402,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,80,0.566801809000026,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,80,0.4956245979992673,7,2019-11-01 19:50:43.334156
merge_sort,reverse_sorted,160,0.5023643220047234,7,2019-11-01 19:50:46.862269
