Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,random,10,0.2513505320021068,7,2019-11-01 16:02:16.231478
sort,random,10,0.25419699600024614,7,2019-11-01 16:02:16.231478
sort,random,10,0.33005512699674,7,2019-11-01 16:02:16.231478
sort,random,10,0.3192294660002517,7,2019-11-01 16:02:16.231478
sort,random,10,0.3182437729992671,7,2019-11-01 16:02:16.232478
sort,random,10,0.26490089599974453,7,2019-11-01 16:02:16.232478
sort,random,10,0.2735335049983405,7,2019-11-01 16:02:16.232478
sort,random,20,0.3725915229988459,7,2019-11-01 16:02:19.167167
sort,random,20,0.3464109220003593,7,2019-11-01 16:02:19.167167
sort,random,20,0.2975214979996963,7,2019-11-01 16:02:19.167167
sort,random,20,0.299316259999614,7,2019-11-01 16:02:19.167167
sort,random,20,0.30293254500065814,7,2019-11-01 16:02:19.167167
sort,random,20,0.31888380400050664,7,2019-11-01 16:02:19.167167
sort,random,20,0.284732926000288,7,2019-11-01 16:02:19.167167
sort,random,40,0.26318329400237417,7,2019-11-01 16:02:22.855132
sort,random,40,0.42047964299854357,7,2019-11-01 16:02:22.855132
sort,random,40,0.5144602340005804,7,2019-11-01 16:02:22.855132
sort,random,40,0.5815127019995998,7,2019-11-01 16:02:22.855132
sort,random,40,0.47121958199932124,7,2019-11-01 16:02:22.855132
sort,random,40,0.42199074100062717,7,2019-11-01 16:02:22.855132
sort,random,40,0.4149178440020478,7,2019-11-01 16:02:22.855132
sort,random,80,0.34777661800035276,7,2019-11-01 16:02:25.621432
sort,random,80,0.3171648650022689,7,2019-11-01 16:02:25.621432
sort,random,80,0.2704484220012091,7,2019-11-01 16:02:25.621432
sort,random,80,0.2894990370004962,7,2019-11-01 16:02:25.621432
sort,random,80,0.24975112399988575,7,2019-11-01 16:02:25.621432
sort,random,80,0.3613189540010353,7,2019-11-01 16:02:25.621432
sort,random,80,0.37708511799792177,7,2019-11-01 16:02:25.621432
sort,random,160,0.20998983099707402,7,2019-11-01 16:02:27.499863
sort,random,160,0.213136015998316,7,2019-11-01 16:02:27.499863
sort,random,160,0.21037786300075823,7,2019-11-01 16:02:27.499863
sort,random,160,0.20185988000230282,7,2019-11-01 16:02:27.499863
sort,random,160,0.20418584599974565,7,2019-11-01 16:02:27.499863
sort,random,160,0.2075679730005504,7,2019-11-01 16:02:27.499863
sort,random,160,0.18104706300073303,7,2019-11-01 16:02:27.499863
sort,random,320,0.33906060400113347,7,2019-11-01 16:02:31.199604
sort,random,320,0.4711954970007355,7,2019-11-01 16:02:31.199604
sort,random,320,0.4855995329999132,7,2019-11-01 16:02:31.199604
sort,random,320,0.45948315799978445,7,2019-11-01 16:02:31.199604
sort,random,320,0.49534316399876843,7,2019-11-01 16:02:31.199604
sort,random,320,0.41524700299851247,7,2019-11-01 16:02:31.199604
sort,random,320,0.4362395629977982,7,2019-11-01 16:02:31.199604
sort,random,640,0.2904392350028502,7,2019-11-01 16:02:34.304303
sort,random,640,0.3062990619982884,7,2019-11-01 16:02:34.304303
sort,random,640,0.23780774899933022,7,2019-11-01 16:02:34.304303
sort,random,640,0.3159410009975545,7,2019-11-01 16:02:34.304303
sort,random,640,0.4363412550010253,7,2019-11-01 16:02:34.304303
sort,random,640,0.4913821090012789,7,2019-11-01 16:02:34.304303
sort,random,640,0.45476432600116823,7,2019-11-01 16:02:34.304303
sort,random,1280,0.3613885320010013,7,2019-11-01 16:02:37.357210
sort,random,1280,0.376788072000636,7,2019-11-01 16:02:37.357210
sort,random,1280,0.3835612469993066,7,2019-11-01 16:02:37.357210
sort,random,1280,0.2834319020003022,7,2019-11-01 16:02:37.357210
sort,random,1280,0.28867034200084163,7,2019-11-01 16:02:37.357210
sort,random,1280,0.28353091800090624,7,2019-11-01 16:02:37.357210
sort,random,1280,0.30628701899695443,7,2019-11-01 16:02:37.357210
sort,random,2560,0.24397300700002233,7,2019-11-01 16:02:40.106695
sort,random,2560,0.3377123030004441,7,2019-11-01 16:02:40.106695
sort,random,2560,0.37109737399805454,7,2019-11-01 16:02:40.106695
sort,random,2560,0.37390012800096883,7,2019-11-01 16:02:40.106695
sort,random,2560,0.3552228289991035,7,2019-11-01 16:02:40.106695
sort,random,2560,0.3038361700018868,7,2019-11-01 16:02:40.106695
sort,random,2560,0.2944694209982117,7,2019-11-01 16:02:40.106695
sort,random,5120,0.39730339599918807,7,2019-11-01 16:02:42.861620
sort,random,5120,0.3352257730002748,7,2019-11-01 16:02:42.861620
sort,random,5120,0.3186353740020422,7,2019-11-01 16:02:42.861620
sort,random,5120,0.31156560000090394,7,2019-11-01 16:02:42.861620
sort,random,5120,0.2505584099999396,7,2019-11-01 16:02:42.861620
sort,random,5120,0.263906283002143,7,2019-11-01 16:02:42.861620
sort,random,5120,0.20037375999891083,7,2019-11-01 16:02:42.861620
sort,random,10240,0.4417384749976918,7,2019-11-01 16:02:47.900179
sort,random,10240,0.4894098340009805,7,2019-11-01 16:02:47.900179
sort,random,10240,0.7840041390008992,7,2019-11-01 16:02:47.900179
sort,random,10240,0.6514919180008292,7,2019-11-01 16:02:47.900179
sort,random,10240,0.7857154960001935,7,2019-11-01 16:02:47.900179
sort,random,10240,0.5984242310005357,7,2019-11-01 16:02:47.900179
sort,random,10240,0.4804293340021104,7,2019-11-01 16:02:47.900179
sort,random,20480,0.37902527999904123,7,2019-11-01 16:02:51.216515
sort,random,20480,0.38579577899872675,7,2019-11-01 16:02:51.216515
sort,random,20480,0.3354924889972608,7,2019-11-01 16:02:51.216515
sort,random,20480,0.31640753299870994,7,2019-11-01 16:02:51.216515
sort,random,20480,0.33129281700166757,7,2019-11-01 16:02:51.216515
sort,random,20480,0.3770311499974923,7,2019-11-01 16:02:51.216515
sort,random,20480,0.3838948660013557,7,2019-11-01 16:02:51.216515
sort,random,40960,0.19977565500084893,7,2019-11-01 16:02:53.011187
sort,random,40960,0.19692874499742175,7,2019-11-01 16:02:53.012187
sort,random,40960,0.1868952039985743,7,2019-11-01 16:02:53.012187
sort,random,40960,0.1948369370002183,7,2019-11-01 16:02:53.012187
sort,random,40960,0.1883897990010155,7,2019-11-01 16:02:53.012187
sort,random,40960,0.1734492079995107,7,2019-11-01 16:02:53.012187
sort,random,40960,0.17063262699957704,7,2019-11-01 16:02:53.012187
sort,random,81920,0.3060693639999954,7,2019-11-01 16:02:56.340471
sort,random,81920,0.39588417899722117,7,2019-11-01 16:02:56.340471
sort,random,81920,0.4488987900003849,7,2019-11-01 16:02:56.340471
sort,random,81920,0.39931804399748216,7,2019-11-01 16:02:56.340471
sort,random,81920,0.3845076890029304,7,2019-11-01 16:02:56.340471
sort,random,81920,0.3424703840028087,7,2019-11-01 16:02:56.340471
sort,random,81920,0.3414962889983144,7,2019-11-01 16:02:56.340471
sort,random,163840,0.24026038300144137,7,2019-11-01 16:02:59.379761
sort,random,163840,0.23399655699904542,7,2019-11-01 16:02:59.379761
sort,random,163840,0.2348707450000802,7,2019-11-01 16:02:59.379761
sort,random,163840,0.31174400499730837,7,2019-11-01 16:02:59.380761
sort,random,163840,0.3795377499991446,7,2019-11-01 16:02:59.380761
sort,random,163840,0.37598658400020213,7,2019-11-01 16:02:59.380761
sort,random,163840,0.38452642200354603,7,2019-11-01 16:02:59.380761
sort,random,327680,0.41949261400077376,7,2019-11-01 16:03:03.521330
sort,random,327680,0.4318842319989926,7,2019-11-01 16:03:03.521330
sort,random,327680,0.40359041600095225,7,2019-11-01 16:03:03.521330
sort,random,327680,0.27822602299784194,7,2019-11-01 16:03:03.521330
sort,random,327680,0.26435987999866484,7,2019-11-01 16:03:03.521330
sort,random,327680,0.2484973770006036,7,2019-11-01 16:03:03.521330
sort,random,327680,0.25314618600168615,7,2019-11-01 16:03:03.521330
sort,random,655360,0.39876453999750083,7,2019-11-01 16:03:08.147434
sort,random,655360,0.39367150099860737,7,2019-11-01 16:03:08.147434
sort,random,655360,0.39541006500076037,7,2019-11-01 16:03:08.147434
sort,random,655360,0.39720393600146053,7,2019-11-01 16:03:08.147434
sort,random,655360,0.39236423300098977,7,2019-11-01 16:03:08.147434
sort,random,655360,0.39757635799833224,7,2019-11-01 16:03:08.147434
sort,random,655360,0.39527135499884025,7,2019-11-01 16:03:08.147434
sort,random,1310720,0.827791158000764,7,2019-11-01 16:03:17.837475
sort,random,1310720,0.8107627740027965,7,2019-11-01 16:03:17.837475
sort,random,1310720,0.8547348890024296,7,2019-11-01 16:03:17.837475
sort,random,1310720,0.8199653900010162,7,2019-11-01 16:03:17.837475
sort,random,1310720,0.8500874180026585,7,2019-11-01 16:03:17.837475
sort,random,1310720,0.827912920001836,7,2019-11-01 16:03:17.837475
sort,random,1310720,0.8240254589982214,7,2019-11-01 16:03:17.837475
sort,random,2621440,3.574513397998089,7,2019-11-01 16:03:55.791003
sort,random,2621440,3.3736610649975773,7,2019-11-01 16:03:55.791003
sort,random,2621440,3.5812557980025304,7,2019-11-01 16:03:55.791003
sort,random,2621440,3.2978149759983353,7,2019-11-01 16:03:55.791003
sort,random,2621440,2.9646725359998527,7,2019-11-01 16:03:55.791003
sort,random,2621440,3.5735285979972105,7,2019-11-01 16:03:55.791003
sort,random,2621440,3.525482588000159,7,2019-11-01 16:03:55.791003
sort,random,5242880,5.732912742001645,7,2019-11-01 16:05:16.168119
sort,random,5242880,4.412017859001935,7,2019-11-01 16:05:16.168119
sort,random,5242880,7.162878666000324,7,2019-11-01 16:05:16.168119
sort,random,5242880,8.054343289000826,7,2019-11-01 16:05:16.168119
sort,random,5242880,7.2640851350006415,7,2019-11-01 16:05:16.168119
sort,random,5242880,7.88268661300026,7,2019-11-01 16:05:16.168119
sort,random,5242880,6.297450580997975,7,2019-11-01 16:05:16.168119
sort,random,10485760,16.513619495999592,7,2019-11-01 16:08:21.080569
sort,random,10485760,16.837412581000535,7,2019-11-01 16:08:21.080569
sort,random,10485760,17.972993827002938,7,2019-11-01 16:08:21.080569
sort,random,10485760,17.516578356000537,7,2019-11-01 16:08:21.080569
sort,random,10485760,17.739429011999164,7,2019-11-01 16:08:21.080569
sort,random,10485760,18.944260240001313,7,2019-11-01 16:08:21.080569
sort,random,10485760,18.510935382000753,7,2019-11-01 16:08:21.080569
