Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sorted,random,10,0.23627167599988752,7,2019-11-01 18:24:10.104140
sorted,random,10,0.24042630099938833,7,2019-11-01 18:24:10.104140
sorted,random,10,0.2617703200012329,7,2019-11-01 18:24:10.104140
sorted,random,10,0.2369081390024803,7,2019-11-01 18:24:10.104140
sorted,random,10,0.19738501800020458,7,2019-11-01 18:24:10.104140
sorted,random,10,0.19497564700213843,7,2019-11-01 18:24:10.104140
sorted,random,10,0.20658584899865673,7,2019-11-01 18:24:10.104140
sorted,random,20,0.24300248000145075,7,2019-11-01 18:24:11.919244
sorted,random,20,0.19487128000037046,7,2019-11-01 18:24:11.919244
sorted,random,20,0.1871993860004295,7,2019-11-01 18:24:11.919244
sorted,random,20,0.1903478019994509,7,2019-11-01 18:24:11.919244
sorted,random,20,0.18198503099847585,7,2019-11-01 18:24:11.919244
sorted,random,20,0.15859112999896752,7,2019-11-01 18:24:11.919244
sorted,random,20,0.15309355600038543,7,2019-11-01 18:24:11.919244
sorted,random,40,0.23757626800215803,7,2019-11-01 18:24:14.896367
sorted,random,40,0.24792915499710944,7,2019-11-01 18:24:14.896367
sorted,random,40,0.21452312099791015,7,2019-11-01 18:24:14.896367
sorted,random,40,0.3734799830017437,7,2019-11-01 18:24:14.896367
sorted,random,40,0.4995629059994826,7,2019-11-01 18:24:14.896367
sorted,random,40,0.43832691100033117,7,2019-11-01 18:24:14.896367
sorted,random,40,0.5476535179986968,7,2019-11-01 18:24:14.896367
sorted,random,80,0.28962837999642943,7,2019-11-01 18:24:17.454513
sorted,random,80,0.2625677949981764,7,2019-11-01 18:24:17.454513
sorted,random,80,0.24264433000280405,7,2019-11-01 18:24:17.454513
sorted,random,80,0.23170761100118398,7,2019-11-01 18:24:17.454513
sorted,random,80,0.24491677299738512,7,2019-11-01 18:24:17.454513
sorted,random,80,0.2917077000020072,7,2019-11-01 18:24:17.454513
sorted,random,80,0.3979081920006138,7,2019-11-01 18:24:17.454513
sorted,random,160,0.4759941659976903,7,2019-11-01 18:24:20.024656
sorted,random,160,0.36889004800104885,7,2019-11-01 18:24:20.024656
sorted,random,160,0.23846829799731495,7,2019-11-01 18:24:20.024656
sorted,random,160,0.18849594999846886,7,2019-11-01 18:24:20.024656
sorted,random,160,0.17927460200007772,7,2019-11-01 18:24:20.024656
sorted,random,160,0.19965656899876194,7,2019-11-01 18:24:20.024656
sorted,random,160,0.19786626700079069,7,2019-11-01 18:24:20.024656
sorted,random,320,0.2923633410027833,7,2019-11-01 18:24:22.194573
sorted,random,320,0.2532469850011694,7,2019-11-01 18:24:22.194573
sorted,random,320,0.20993809300125577,7,2019-11-01 18:24:22.194573
sorted,random,320,0.22577651200117543,7,2019-11-01 18:24:22.194573
sorted,random,320,0.19623117800074397,7,2019-11-01 18:24:22.194573
sorted,random,320,0.18576411200047005,7,2019-11-01 18:24:22.194573
sorted,random,320,0.19390788900273037,7,2019-11-01 18:24:22.194573
sorted,random,640,0.1948195430013584,7,2019-11-01 18:24:24.016427
sorted,random,640,0.21272122300069896,7,2019-11-01 18:24:24.016427
sorted,random,640,0.20788821099995403,7,2019-11-01 18:24:24.016427
sorted,random,640,0.19645373899766128,7,2019-11-01 18:24:24.016427
sorted,random,640,0.20900636900114478,7,2019-11-01 18:24:24.016427
sorted,random,640,0.2137367980030831,7,2019-11-01 18:24:24.016427
sorted,random,640,0.21592583699748502,7,2019-11-01 18:24:24.016427
sorted,random,1280,1.1094537210010458,7,2019-11-01 18:24:29.535992
sorted,random,1280,0.8510664210007235,7,2019-11-01 18:24:29.535992
sorted,random,1280,0.6485174480003479,7,2019-11-01 18:24:29.535992
sorted,random,1280,0.5334885470001609,7,2019-11-01 18:24:29.535992
sorted,random,1280,0.4946286480007984,7,2019-11-01 18:24:29.535992
sorted,random,1280,0.41894580100051826,7,2019-11-01 18:24:29.535992
sorted,random,1280,0.4445019799968577,7,2019-11-01 18:24:29.535992
sorted,random,2560,0.3524731500001508,7,2019-11-01 18:24:32.746283
sorted,random,2560,0.34399575399947935,7,2019-11-01 18:24:32.746283
sorted,random,2560,0.33858113899987075,7,2019-11-01 18:24:32.746283
sorted,random,2560,0.34473256999990554,7,2019-11-01 18:24:32.746283
sorted,random,2560,0.4118051099976583,7,2019-11-01 18:24:32.746283
sorted,random,2560,0.37945969800057355,7,2019-11-01 18:24:32.746283
sorted,random,2560,0.37349916200037114,7,2019-11-01 18:24:32.746283
sorted,random,5120,0.5881150540008093,7,2019-11-01 18:24:37.646438
