Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,reverese_sorted,10,2.4612612399999988e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,2.2203588599998623e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,3.6674412499999675e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.7603107899998348e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.714348790000031e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.6815621300000316e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.6665001600000552e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,2.409416300000089e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,2.4060399499995812e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,3.209047889999965e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.689197929999864e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.674555209999653e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.6836985499998037e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.655947400000173e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.473299225000062e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.552402465e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.3567417600000909e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.2288197949999357e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.072274729999947e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.095690589999947e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.089417370000092e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.087994574999982e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.0801380000000905e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.1583402849998947e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.1377700050002204e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.087011109999878e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.102423205000207e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.0790809350001496e-05,7,2019-11-20 19:29:08.638803
sorted,reverese_sorted,10,4.8369944000000945e-06,7,2019-11-20 19:29:10.407721
sorted,reverese_sorted,10,4.473482099999728e-06,7,2019-11-20 19:29:10.407721
sorted,reverese_sorted,10,3.7611849799998253e-06,7,2019-11-20 19:29:10.410221
sorted,reverese_sorted,10,4.584450959999913e-06,7,2019-11-20 19:29:10.410221
sorted,reverese_sorted,10,3.4851097399996435e-06,7,2019-11-20 19:29:10.410221
sorted,reverese_sorted,10,3.583688280000388e-06,7,2019-11-20 19:29:10.410221
sorted,reverese_sorted,10,4.725606240000389e-06,7,2019-11-20 19:29:10.410221
sorted,reverese_sorted,10,4.064511799999764e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,3.882198159999461e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,4.6366973399995e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,4.649114439999948e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,3.805938259999948e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,3.910582639999803e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,3.2253765400002974e-06,7,2019-11-20 19:29:12.271741
sorted,reverese_sorted,10,3.211451920000172e-06,7,2019-11-20 19:29:15.866382
sorted,reverese_sorted,10,3.0750467200005004e-06,7,2019-11-20 19:29:15.866382
sorted,reverese_sorted,10,3.3751042500000496e-06,7,2019-11-20 19:29:15.866382
sorted,reverese_sorted,10,4.9736627299995464e-06,7,2019-11-20 19:29:15.866382
sorted,reverese_sorted,10,5.148514539999951e-06,7,2019-11-20 19:29:15.868882
sorted,reverese_sorted,10,4.902487429999951e-06,7,2019-11-20 19:29:15.868882
sorted,reverese_sorted,10,4.848465929999861e-06,7,2019-11-20 19:29:15.868882
quick_sort,reverese_sorted,10,4.9853661999998166e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,9.003099799999745e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,4.407498440000381e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,4.2877965600007426e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,4.005245160000186e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,3.802789379999467e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,4.709237440000606e-05,7,2019-11-20 19:29:18.233207
quick_sort,reverese_sorted,10,3.101254649999987e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.8212856899997403e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.2502821000002765e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.133399050000207e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.755623160000141e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.450708500000133e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.306881589999762e-05,7,2019-11-20 19:29:21.247940
quick_sort,reverese_sorted,10,3.248903910000536e-05,7,2019-11-20 19:29:25.695673
quick_sort,reverese_sorted,10,3.879200909999554e-05,7,2019-11-20 19:29:25.695673
quick_sort,reverese_sorted,10,4.734905689999778e-05,7,2019-11-20 19:29:25.695673
quick_sort,reverese_sorted,10,7.796469340000271e-05,7,2019-11-20 19:29:25.695673
quick_sort,reverese_sorted,10,6.729031649999798e-05,7,2019-11-20 19:29:25.695673
quick_sort,reverese_sorted,10,5.789734489999887e-05,7,2019-11-20 19:29:25.695673
quick_sort,reverese_sorted,10,4.808052380000163e-05,7,2019-11-20 19:29:25.695673
merge_sort,reverese_sorted,10,8.353236059999745e-05,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,7.478535459999876e-05,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,9.512869819999423e-05,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,0.00016907803939999439,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,0.00012259581539999544,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,0.00010686249760000238,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,0.00010182393940000339,7,2019-11-20 19:29:30.230095
merge_sort,reverese_sorted,10,7.829291680000096e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,7.219515900000034e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,6.0732001999997465e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,5.968653959999983e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,5.980187960000194e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,5.97992033999958e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,6.099577620000218e-05,7,2019-11-20 19:29:33.217513
merge_sort,reverese_sorted,10,6.513088359999983e-05,7,2019-11-20 19:29:36.631260
merge_sort,reverese_sorted,10,6.742706520000184e-05,7,2019-11-20 19:29:36.631260
merge_sort,reverese_sorted,10,5.938833300000397e-05,7,2019-11-20 19:29:36.631260
merge_sort,reverese_sorted,10,5.930885300000455e-05,7,2019-11-20 19:29:36.631260
merge_sort,reverese_sorted,10,5.9552645600001595e-05,7,2019-11-20 19:29:36.631260
merge_sort,reverese_sorted,10,9.774681420000207e-05,7,2019-11-20 19:29:36.631260
merge_sort,reverese_sorted,10,0.00016503784460001044,7,2019-11-20 19:29:36.631260
heap_sort,reverese_sorted,10,0.00010342986649999375,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,0.00010318723299999988,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,8.51452009999889e-05,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,9.535250950000319e-05,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,8.958373250001728e-05,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,8.18779075000009e-05,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,8.228824249999889e-05,7,2019-11-20 19:29:38.347263
heap_sort,reverese_sorted,10,0.00010483816300001082,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,0.00010168549599998756,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,8.545518200000402e-05,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,9.146681400000035e-05,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,0.0001019513219999908,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,6.842805950000752e-05,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,6.783285099999147e-05,7,2019-11-20 19:29:39.991274
heap_sort,reverese_sorted,10,7.21720553999944e-05,7,2019-11-20 19:29:43.578112
heap_sort,reverese_sorted,10,0.00011364435540000386,7,2019-11-20 19:29:43.578112
heap_sort,reverese_sorted,10,8.933378540000376e-05,7,2019-11-20 19:29:43.578112
heap_sort,reverese_sorted,10,8.243667680000044e-05,7,2019-11-20 19:29:43.578112
heap_sort,reverese_sorted,10,8.18040472000007e-05,7,2019-11-20 19:29:43.578112
heap_sort,reverese_sorted,10,8.16771107999898e-05,7,2019-11-20 19:29:43.578112
heap_sort,reverese_sorted,10,7.133399059999875e-05,7,2019-11-20 19:29:43.578112
