Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,reverese_sorted,10,2.4612612399999988e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,2.2203588599998623e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,3.6674412499999675e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.7603107899998348e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.714348790000031e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.6815621300000316e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.6665001600000552e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,2.409416300000089e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,2.4060399499995812e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,3.209047889999965e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.689197929999864e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.674555209999653e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.6836985499998037e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.655947400000173e-05,7,2019-11-20 19:29:04.187981
