Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,reverese_sorted,10,2.4612612399999988e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,2.2203588599998623e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,3.6674412499999675e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.7603107899998348e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.714348790000031e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.6815621300000316e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,1.6665001600000552e-05,7,2019-11-20 19:27:42.428553
sort,reverese_sorted,10,2.409416300000089e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,2.4060399499995812e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,3.209047889999965e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.689197929999864e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.674555209999653e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.6836985499998037e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.655947400000173e-05,7,2019-11-20 19:29:04.187981
sort,reverese_sorted,10,1.473299225000062e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.552402465e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.3567417600000909e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.2288197949999357e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.072274729999947e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.095690589999947e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.089417370000092e-05,7,2019-11-20 19:29:06.655099
sort,reverese_sorted,10,1.087994574999982e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.0801380000000905e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.1583402849998947e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.1377700050002204e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.087011109999878e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.102423205000207e-05,7,2019-11-20 19:29:08.638803
sort,reverese_sorted,10,1.0790809350001496e-05,7,2019-11-20 19:29:08.638803
