Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,reverese_sorted,10,4.586815999999985e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,10,4.61969400000001e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,10,4.576519999999959e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,10,4.5868600000000015e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,10,4.586047999999892e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,10,4.585016000000053e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,10,4.56161999999992e-06,7,2019-11-21 16:16:52.399255
sort,reverese_sorted,20,5.504789999999957e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,20,5.5166399999998815e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,20,5.492590000000063e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,20,5.485510000000033e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,20,5.5047980000000506e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,20,5.50867199999999e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,20,5.453222000000011e-06,7,2019-11-21 16:16:54.808896
sort,reverese_sorted,40,7.321925999999906e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,40,7.2822819999998955e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,40,7.3328560000000205e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,40,7.296970000000016e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,40,7.2644900000000235e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,40,7.254979999999876e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,40,7.233812000000057e-06,7,2019-11-21 16:16:58.007039
sort,reverese_sorted,80,1.1042669999999788e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,80,1.1024055000000032e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,80,1.1038414999999802e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,80,1.1034279999999796e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,80,1.1044964999999962e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,80,1.1028585000000036e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,80,1.1035589999999828e-05,7,2019-11-21 16:16:59.982928
sort,reverese_sorted,160,1.8613995000000117e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,160,1.8601839999999825e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,160,1.8601140000000173e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,160,1.8631340000000307e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,160,1.8681034999999822e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,160,1.8728300000000076e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,160,1.8751885e-05,7,2019-11-21 16:17:03.319993
sort,reverese_sorted,320,3.419291000000015e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,320,3.4219709999999994e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,320,3.429215999999968e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,320,3.4177660000000285e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,320,3.4270219999999794e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,320,3.423826000000005e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,320,3.423285000000007e-05,7,2019-11-21 16:17:06.363270
sort,reverese_sorted,640,6.379522000000009e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,640,6.377104000000031e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,640,6.36960000000002e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,640,6.365166000000073e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,640,6.37020199999995e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,640,6.378569999999968e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,640,6.369453999999877e-05,7,2019-11-21 16:17:09.160644
sort,reverese_sorted,1280,0.00012514425000000173,7,2019-11-21 16:17:11.401382
sort,reverese_sorted,1280,0.00012502714999999752,7,2019-11-21 16:17:11.401382
sort,reverese_sorted,1280,0.00012517974999999736,7,2019-11-21 16:17:11.401382
sort,reverese_sorted,1280,0.0001253946500000005,7,2019-11-21 16:17:11.401382
sort,reverese_sorted,1280,0.00012546040000000147,7,2019-11-21 16:17:11.401382
sort,reverese_sorted,1280,0.00012517270000000024,7,2019-11-21 16:17:11.401382
