Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
heap_sort,reverse_sorted,10,1.7402041000023018e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,10,1.7272320999909426e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,10,1.727607299995725e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,10,1.7249878000002354e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,10,1.7331164999923203e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,10,1.7255575000017415e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,10,1.730481400009012e-05,100000,2019-11-24 00:16:19.366019
heap_sort,reverse_sorted,20,4.693628999957582e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,20,4.6946870000101624e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,20,4.6926899999380114e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,20,4.686528000020189e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,20,4.7023619999527e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,20,4.695358000026317e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,20,4.704553000046872e-05,10000,2019-11-24 00:16:23.175919
heap_sort,reverse_sorted,40,0.00011350610999943456,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,40,0.00011350460999965435,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,40,0.00011366656000027433,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,40,0.0001136932199995499,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,40,0.00011355019000038738,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,40,0.00011355303999880562,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,40,0.00011336081000044942,10000,2019-11-24 00:16:32.386765
heap_sort,reverse_sorted,80,0.00027910260000498963,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,80,0.0002784509000048274,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,80,0.0002780880999926012,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,80,0.00027870399999665096,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,80,0.0002783281000010902,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,80,0.00027829580000252464,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,80,0.0002808497000078205,1000,2019-11-24 00:16:34.647505
heap_sort,reverse_sorted,160,0.0006578284999995958,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,160,0.0006561726999934763,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,160,0.0006555730999971274,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,160,0.0006572538999898825,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,160,0.0006555313999997452,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,160,0.0006564953000051901,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,160,0.0006565996999997878,1000,2019-11-24 00:16:39.977535
heap_sort,reverse_sorted,320,0.0015432909999944968,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,320,0.0015456623999925796,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,320,0.001546899699998903,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,320,0.0015450452999939443,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,320,0.0015444798999960767,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,320,0.0015456161000038265,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,320,0.0015444893999956549,1000,2019-11-24 00:16:52.505667
heap_sort,reverse_sorted,640,0.0035673089999181686,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,640,0.0035677209999994373,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,640,0.0035783030001039153,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,640,0.003579936999885831,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,640,0.003574576000100933,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,640,0.0035762789999716914,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,640,0.0035759590000088793,100,2019-11-24 00:16:55.402054
heap_sort,reverse_sorted,1280,0.008167473000066821,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,1280,0.008163250000070548,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,1280,0.008147933000000194,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,1280,0.008159879999875557,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,1280,0.00814601699996274,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,1280,0.008158667000097921,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,1280,0.008159254000056536,100,2019-11-24 00:17:02.010372
heap_sort,reverse_sorted,2560,0.018266773000068497,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,2560,0.018258109000016703,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,2560,0.018267280000000028,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,2560,0.018279295000102138,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,2560,0.01827420400004485,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,2560,0.01824498699992546,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,2560,0.018262486000021453,100,2019-11-24 00:17:16.806128
heap_sort,reverse_sorted,5120,0.0405539300001692,10,2019-11-24 00:17:20.054318
heap_sort,reverse_sorted,5120,0.04054362000024412,10,2019-11-24 00:17:20.054318
heap_sort,reverse_sorted,5120,0.04045709999918472,10,2019-11-24 00:17:20.054318
