Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
quick_sort,random,10,1.890712800000074e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,10,1.881847800000287e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,10,1.879450899999938e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,10,1.8856571000005715e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,10,1.8892074999994294e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,10,1.879481599999963e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,10,1.8878859999995257e-05,100000,2019-11-22 15:45:03.816452
quick_sort,random,20,3.308673000001363e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,20,3.325629000000845e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,20,3.3075039999948785e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,20,3.3147720000033586e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,20,3.3245639999950074e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,20,3.350756999998339e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,20,3.338257999994312e-05,10000,2019-11-22 15:45:06.510964
quick_sort,random,40,8.561143000006269e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,40,8.520660000003773e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,40,8.49082200000339e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,40,8.581045999999333e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,40,8.571992000006503e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,40,8.536807999998927e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,40,8.544296999998551e-05,10000,2019-11-22 15:45:13.447088
quick_sort,random,80,0.000167143920000035,10000,2019-11-22 15:45:26.956476
quick_sort,random,80,0.0001665322100000594,10000,2019-11-22 15:45:26.956476
quick_sort,random,80,0.00016676754000000073,10000,2019-11-22 15:45:26.956476
quick_sort,random,80,0.00016595168000003467,10000,2019-11-22 15:45:26.956476
quick_sort,random,80,0.00016763906999995014,10000,2019-11-22 15:45:26.956476
quick_sort,random,80,0.00016651272999997673,10000,2019-11-22 15:45:26.956476
quick_sort,random,80,0.0001655644100000245,10000,2019-11-22 15:45:26.956476
quick_sort,random,160,0.0003887615000003279,1000,2019-11-22 15:45:30.102709
quick_sort,random,160,0.0003875914999998713,1000,2019-11-22 15:45:30.102709
quick_sort,random,160,0.00038765220000004777,1000,2019-11-22 15:45:30.102709
quick_sort,random,160,0.00038747389999934967,1000,2019-11-22 15:45:30.102709
quick_sort,random,160,0.00038856570000007196,1000,2019-11-22 15:45:30.102709
quick_sort,random,160,0.0003874212999999145,1000,2019-11-22 15:45:30.102709
quick_sort,random,160,0.00038738490000014283,1000,2019-11-22 15:45:30.102709
quick_sort,random,320,0.0007739026999997805,1000,2019-11-22 15:45:36.410187
quick_sort,random,320,0.0007773316000002524,1000,2019-11-22 15:45:36.410187
quick_sort,random,320,0.000776778600000398,1000,2019-11-22 15:45:36.410187
quick_sort,random,320,0.0007771061000003101,1000,2019-11-22 15:45:36.410187
quick_sort,random,320,0.0007787852000001295,1000,2019-11-22 15:45:36.410187
quick_sort,random,320,0.000777570299999752,1000,2019-11-22 15:45:36.410187
quick_sort,random,320,0.0007785595000004832,1000,2019-11-22 15:45:36.410187
quick_sort,random,640,0.0017823558000000048,1000,2019-11-22 15:45:50.848074
quick_sort,random,640,0.001780885799999851,1000,2019-11-22 15:45:50.848074
quick_sort,random,640,0.0017793845999995027,1000,2019-11-22 15:45:50.848074
quick_sort,random,640,0.001773696999999629,1000,2019-11-22 15:45:50.848074
quick_sort,random,640,0.0017815654999994877,1000,2019-11-22 15:45:50.848074
quick_sort,random,640,0.0017805521999998747,1000,2019-11-22 15:45:50.848074
quick_sort,random,640,0.0017801988999999593,1000,2019-11-22 15:45:50.848074
quick_sort,random,1280,0.0039903500000036726,100,2019-11-22 15:45:54.068266
quick_sort,random,1280,0.003974594000001161,100,2019-11-22 15:45:54.068266
quick_sort,random,1280,0.003952342000002318,100,2019-11-22 15:45:54.068266
quick_sort,random,1280,0.003961396000004242,100,2019-11-22 15:45:54.068266
quick_sort,random,1280,0.003966186999996353,100,2019-11-22 15:45:54.068266
quick_sort,random,1280,0.003973126999999295,100,2019-11-22 15:45:54.068266
quick_sort,random,1280,0.003970368999998755,100,2019-11-22 15:45:54.068266
quick_sort,random,2560,0.008659569999999804,100,2019-11-22 15:46:01.064312
quick_sort,random,2560,0.008644942999999329,100,2019-11-22 15:46:01.064312
quick_sort,random,2560,0.008642588000002433,100,2019-11-22 15:46:01.064312
quick_sort,random,2560,0.008632489999999961,100,2019-11-22 15:46:01.064312
quick_sort,random,2560,0.008620016999993823,100,2019-11-22 15:46:01.064312
quick_sort,random,2560,0.00863723899999968,100,2019-11-22 15:46:01.064312
quick_sort,random,2560,0.00861564400000134,100,2019-11-22 15:46:01.064312
quick_sort,random,5120,0.017701177999997528,100,2019-11-22 15:46:15.365298
quick_sort,random,5120,0.017716101999994863,100,2019-11-22 15:46:15.365298
quick_sort,random,5120,0.017652869000003193,100,2019-11-22 15:46:15.365298
quick_sort,random,5120,0.01761609500000304,100,2019-11-22 15:46:15.366298
quick_sort,random,5120,0.017685538999994605,100,2019-11-22 15:46:15.366298
quick_sort,random,5120,0.01765163599999141,100,2019-11-22 15:46:15.366298
quick_sort,random,5120,0.017578905999998826,100,2019-11-22 15:46:15.366298
quick_sort,random,10240,0.03740018999997119,10,2019-11-22 15:46:18.349600
quick_sort,random,10240,0.03726607999997213,10,2019-11-22 15:46:18.349600
quick_sort,random,10240,0.037317309999980355,10,2019-11-22 15:46:18.349600
quick_sort,random,10240,0.037282599999980445,10,2019-11-22 15:46:18.349600
quick_sort,random,10240,0.03719492999998693,10,2019-11-22 15:46:18.349600
quick_sort,random,10240,0.037250099999982925,10,2019-11-22 15:46:18.349600
quick_sort,random,10240,0.037406399999963466,10,2019-11-22 15:46:18.349600
quick_sort,random,20480,0.08322454999997717,10,2019-11-22 15:46:25.028848
quick_sort,random,20480,0.08345564999999625,10,2019-11-22 15:46:25.028848
quick_sort,random,20480,0.08312822999996569,10,2019-11-22 15:46:25.028848
quick_sort,random,20480,0.0848366299999725,10,2019-11-22 15:46:25.028848
quick_sort,random,20480,0.08308137000003626,10,2019-11-22 15:46:25.028848
quick_sort,random,20480,0.08331058000003395,10,2019-11-22 15:46:25.028848
quick_sort,random,20480,0.08333481999998185,10,2019-11-22 15:46:25.028848
quick_sort,random,40960,0.1792395899999974,10,2019-11-22 15:46:39.373807
quick_sort,random,40960,0.17973802999995314,10,2019-11-22 15:46:39.373807
quick_sort,random,40960,0.17947526999996627,10,2019-11-22 15:46:39.373807
quick_sort,random,40960,0.1788820300000225,10,2019-11-22 15:46:39.373807
quick_sort,random,40960,0.1787974900000336,10,2019-11-22 15:46:39.373807
quick_sort,random,40960,0.17911351000002468,10,2019-11-22 15:46:39.373807
quick_sort,random,40960,0.17940368000008675,10,2019-11-22 15:46:39.373807
quick_sort,random,81920,0.35598581999993256,10,2019-11-22 15:47:07.921727
quick_sort,random,81920,0.35653812000000473,10,2019-11-22 15:47:07.921727
quick_sort,random,81920,0.35749695000004067,10,2019-11-22 15:47:07.921727
quick_sort,random,81920,0.3572731700000077,10,2019-11-22 15:47:07.921727
quick_sort,random,81920,0.3574288599999818,10,2019-11-22 15:47:07.921727
quick_sort,random,81920,0.35588456000004953,10,2019-11-22 15:47:07.921727
quick_sort,random,81920,0.35660032999994656,10,2019-11-22 15:47:07.921727
quick_sort,random,163840,0.7758673899999848,10,2019-11-22 15:48:09.805919
quick_sort,random,163840,0.7728959699999904,10,2019-11-22 15:48:09.805919
quick_sort,random,163840,0.773277969999981,10,2019-11-22 15:48:09.805919
quick_sort,random,163840,0.7725125099999787,10,2019-11-22 15:48:09.805919
quick_sort,random,163840,0.7747838899999806,10,2019-11-22 15:48:09.805919
quick_sort,random,163840,0.7735943700000462,10,2019-11-22 15:48:09.805919
quick_sort,random,163840,0.7719271099999787,10,2019-11-22 15:48:09.806918
quick_sort,random,327680,1.5702242600000318,10,2019-11-22 15:50:15.487289
quick_sort,random,327680,1.5697256699999342,10,2019-11-22 15:50:15.487289
quick_sort,random,327680,1.5710981399999582,10,2019-11-22 15:50:15.487289
quick_sort,random,327680,1.570494090000011,10,2019-11-22 15:50:15.487289
quick_sort,random,327680,1.5718657099999291,10,2019-11-22 15:50:15.487289
quick_sort,random,327680,1.570497350000005,10,2019-11-22 15:50:15.487289
quick_sort,random,327680,1.5699755300000107,10,2019-11-22 15:50:15.487289
quick_sort,random,655360,3.4944914900000184,10,2019-11-22 15:54:55.106889
quick_sort,random,655360,3.4929141000000525,10,2019-11-22 15:54:55.106889
quick_sort,random,655360,3.4974471399999856,10,2019-11-22 15:54:55.106889
quick_sort,random,655360,3.4942726700000093,10,2019-11-22 15:54:55.106889
quick_sort,random,655360,3.494923389999985,10,2019-11-22 15:54:55.106889
quick_sort,random,655360,3.49252690000003,10,2019-11-22 15:54:55.106889
quick_sort,random,655360,3.4949857399999926,10,2019-11-22 15:54:55.106889
quick_sort,random,1310720,7.069499499999983,10,2019-11-22 16:04:20.939269
quick_sort,random,1310720,7.073326950000046,10,2019-11-22 16:04:20.939269
quick_sort,random,1310720,7.07334565000001,10,2019-11-22 16:04:20.939269
quick_sort,random,1310720,7.073233789999994,10,2019-11-22 16:04:20.939269
quick_sort,random,1310720,7.067822400000023,10,2019-11-22 16:04:20.939269
quick_sort,random,1310720,7.072372449999966,10,2019-11-22 16:04:20.939269
quick_sort,random,1310720,7.070080099999996,10,2019-11-22 16:04:20.939269
quick_sort,random,2621440,15.157665319999978,10,2019-11-22 16:24:33.460757
quick_sort,random,2621440,15.15274530000006,10,2019-11-22 16:24:33.460757
quick_sort,random,2621440,15.161831309999979,10,2019-11-22 16:24:33.460757
quick_sort,random,2621440,15.155021039999975,10,2019-11-22 16:24:33.460757
quick_sort,random,2621440,15.146596809999938,10,2019-11-22 16:24:33.460757
quick_sort,random,2621440,15.147031889999926,10,2019-11-22 16:24:33.460757
quick_sort,random,2621440,15.16726934999997,10,2019-11-22 16:24:33.460757
quick_sort,random,5242880,32.43283314,10,2019-11-22 17:07:49.661301
quick_sort,random,5242880,32.441669939999976,10,2019-11-22 17:07:49.661301
quick_sort,random,5242880,32.43387832999997,10,2019-11-22 17:07:49.661301
quick_sort,random,5242880,32.46720750000004,10,2019-11-22 17:07:49.661301
quick_sort,random,5242880,32.452713519999996,10,2019-11-22 17:07:49.661301
quick_sort,random,5242880,32.45708040000009,10,2019-11-22 17:07:49.661301
quick_sort,random,5242880,32.44869026000015,10,2019-11-22 17:07:49.661301
quick_sort,random,10485760,71.09841723999997,10,2019-11-22 18:42:36.967147
quick_sort,random,10485760,71.10936965,10,2019-11-22 18:42:36.967147
quick_sort,random,10485760,71.08939131999996,10,2019-11-22 18:42:36.967147
quick_sort,random,10485760,71.07452764999998,10,2019-11-22 18:42:36.967147
quick_sort,random,10485760,71.07825247000001,10,2019-11-22 18:42:36.968146
quick_sort,random,10485760,71.07258757,10,2019-11-22 18:42:36.968146
quick_sort,random,10485760,71.07168978999998,10,2019-11-22 18:42:36.968146
