Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,random,10,4.73217e-06,100000,2019-11-22 14:33:05.500559
sort,random,10,4.729677e-06,100000,2019-11-22 14:33:05.500559
sort,random,10,4.709216999999999e-06,100000,2019-11-22 14:33:05.500559
sort,random,10,4.731920000000001e-06,100000,2019-11-22 14:33:05.500559
sort,random,10,4.7357449999999975e-06,100000,2019-11-22 14:33:05.500559
sort,random,10,4.704131e-06,100000,2019-11-22 14:33:05.500559
sort,random,10,4.728957000000001e-06,100000,2019-11-22 14:33:05.500559
sort,random,20,5.340657000000002e-06,100000,2019-11-22 14:33:09.860096
sort,random,20,5.331904999999999e-06,100000,2019-11-22 14:33:09.860096
sort,random,20,5.3106909999999985e-06,100000,2019-11-22 14:33:09.860096
sort,random,20,5.506003000000002e-06,100000,2019-11-22 14:33:09.860096
sort,random,20,5.379205000000002e-06,100000,2019-11-22 14:33:09.860096
sort,random,20,5.3850080000000046e-06,100000,2019-11-22 14:33:09.860096
sort,random,20,5.407589999999996e-06,100000,2019-11-22 14:33:09.860096
sort,random,40,6.7590299999999996e-06,100000,2019-11-22 14:33:15.292004
sort,random,40,6.732627999999998e-06,100000,2019-11-22 14:33:15.292004
sort,random,40,6.689434999999992e-06,100000,2019-11-22 14:33:15.292004
sort,random,40,6.702306e-06,100000,2019-11-22 14:33:15.292004
sort,random,40,6.716251e-06,100000,2019-11-22 14:33:15.292004
sort,random,40,6.686544000000012e-06,100000,2019-11-22 14:33:15.292004
sort,random,40,6.6554220000000085e-06,100000,2019-11-22 14:33:15.292004
sort,random,80,9.476158000000013e-06,100000,2019-11-22 14:33:22.992617
sort,random,80,9.509784999999997e-06,100000,2019-11-22 14:33:22.992617
sort,random,80,9.562340999999997e-06,100000,2019-11-22 14:33:22.992617
sort,random,80,9.552315e-06,100000,2019-11-22 14:33:22.992617
sort,random,80,9.476703999999998e-06,100000,2019-11-22 14:33:22.992617
sort,random,80,9.47743299999999e-06,100000,2019-11-22 14:33:22.992617
sort,random,80,9.456361000000015e-06,100000,2019-11-22 14:33:22.992617
sort,random,160,1.5298586999999984e-05,100000,2019-11-22 14:33:35.393609
sort,random,160,1.5284299999999965e-05,100000,2019-11-22 14:33:35.393609
sort,random,160,1.5318838000000027e-05,100000,2019-11-22 14:33:35.393609
sort,random,160,1.532261599999998e-05,100000,2019-11-22 14:33:35.393609
sort,random,160,1.5395765000000027e-05,100000,2019-11-22 14:33:35.393609
sort,random,160,1.526880000000002e-05,100000,2019-11-22 14:33:35.393609
sort,random,160,1.527266499999996e-05,100000,2019-11-22 14:33:35.393609
sort,random,320,2.6511059999999985e-05,10000,2019-11-22 14:33:37.533374
sort,random,320,2.6506629999999377e-05,10000,2019-11-22 14:33:37.533374
sort,random,320,2.6485499999999718e-05,10000,2019-11-22 14:33:37.533374
sort,random,320,2.625036000000023e-05,10000,2019-11-22 14:33:37.533374
sort,random,320,2.611308999999977e-05,10000,2019-11-22 14:33:37.533374
sort,random,320,2.6292279999999835e-05,10000,2019-11-22 14:33:37.533374
sort,random,320,2.626155999999966e-05,10000,2019-11-22 14:33:37.533374
sort,random,640,6.041142999999991e-05,10000,2019-11-22 14:33:42.430585
sort,random,640,6.0349060000000066e-05,10000,2019-11-22 14:33:42.430585
sort,random,640,6.034646000000024e-05,10000,2019-11-22 14:33:42.430585
sort,random,640,6.03714200000006e-05,10000,2019-11-22 14:33:42.430585
sort,random,640,6.034411999999989e-05,10000,2019-11-22 14:33:42.430585
sort,random,640,6.063311999999996e-05,10000,2019-11-22 14:33:42.430585
sort,random,640,6.0249380000000486e-05,10000,2019-11-22 14:33:42.430585
sort,random,1280,0.00012884672000000065,10000,2019-11-22 14:33:52.888653
sort,random,1280,0.00012883914000000018,10000,2019-11-22 14:33:52.888653
sort,random,1280,0.00012887434000000012,10000,2019-11-22 14:33:52.888653
sort,random,1280,0.00012904924999999993,10000,2019-11-22 14:33:52.888653
sort,random,1280,0.00012886298999999966,10000,2019-11-22 14:33:52.888653
sort,random,1280,0.00012888155999999995,10000,2019-11-22 14:33:52.888653
sort,random,1280,0.00012908914999999936,10000,2019-11-22 14:33:52.888653
sort,random,2560,0.0002732554000000036,1000,2019-11-22 14:33:55.101392
sort,random,2560,0.00027274080000000113,1000,2019-11-22 14:33:55.101392
