Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,reverse_sorted,10,4.688795999999797e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,10,4.689671999999518e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,10,4.752258000000325e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,10,4.679997999999728e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,10,4.7309490000003504e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,10,4.7923190000000205e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,10,4.7257020000000694e-06,100000,2019-11-22 14:39:07.368671
sort,reverse_sorted,20,5.424284999999713e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,20,5.5634309999999235e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,20,5.490874999999846e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,20,5.418147000000318e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,20,5.413168999999698e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,20,5.69265899999948e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,20,5.3953480000001265e-06,100000,2019-11-22 14:39:11.821156
sort,reverse_sorted,40,7.13600299999996e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,40,6.836370000000329e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,40,6.699765000000184e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,40,6.933956999999964e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,40,7.008412999999791e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,40,6.697550000000092e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,40,6.711739000000421e-06,100000,2019-11-22 14:39:17.525884
sort,reverse_sorted,80,9.502118999999994e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,80,9.484688000000005e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,80,9.611942000000227e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,80,9.552352000000041e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,80,9.463290999999571e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,80,9.615226999999891e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,80,9.45026100000007e-06,100000,2019-11-22 14:39:25.252505
sort,reverse_sorted,160,1.5138956000000122e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,160,1.511884499999951e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,160,1.5179299000000128e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,160,1.5187192999999866e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,160,1.51607469999999e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,160,1.5264260999999806e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,160,1.5243591999999921e-05,100000,2019-11-22 14:39:37.561490
sort,reverse_sorted,320,2.6049169999998868e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,320,2.5999900000005026e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,320,2.5882869999998093e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,320,2.6049460000001544e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,320,2.6021459999998342e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,320,2.553400999999553e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,320,2.5885909999999512e-05,10000,2019-11-22 14:39:39.665293
sort,reverse_sorted,640,4.8010399999998296e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,640,4.7972260000000236e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,640,4.788526000000388e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,640,4.832560000000399e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,640,4.803003000000103e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,640,4.7974810000005164e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,640,4.79978200000005e-05,10000,2019-11-22 14:39:43.562073
sort,reverse_sorted,1280,9.408978000000161e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,1280,9.411347999999862e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,1280,9.418531999999686e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,1280,9.400806000000443e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,1280,9.439290999999912e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,1280,9.403676999999675e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,1280,9.384818999999993e-05,10000,2019-11-22 14:39:51.190725
sort,reverse_sorted,2560,0.00018917050000000018,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,2560,0.0001882181399999979,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,2560,0.00019474078999999733,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,2560,0.0001885331899999983,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,2560,0.00018753932999999846,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,2560,0.00018757109000000014,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,2560,0.00018941576999999938,10000,2019-11-22 14:40:06.532961
sort,reverse_sorted,5120,0.00037658060000001116,1000,2019-11-22 14:40:09.593239
sort,reverse_sorted,5120,0.0003738493000000176,1000,2019-11-22 14:40:09.593239
sort,reverse_sorted,5120,0.000376048199999957,1000,2019-11-22 14:40:09.593239
sort,reverse_sorted,5120,0.0003763369000000125,1000,2019-11-22 14:40:09.593239
sort,reverse_sorted,5120,0.00037341939999998886,1000,2019-11-22 14:40:09.593239
sort,reverse_sorted,5120,0.0003807896999999798,1000,2019-11-22 14:40:09.594239
sort,reverse_sorted,5120,0.00038540889999995895,1000,2019-11-22 14:40:09.594239
sort,reverse_sorted,10240,0.0008011846999999648,1000,2019-11-22 14:40:16.117523
sort,reverse_sorted,10240,0.0008061723999999799,1000,2019-11-22 14:40:16.117523
sort,reverse_sorted,10240,0.0008049973999999906,1000,2019-11-22 14:40:16.117523
