Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sort,sorted,10,4.71369700000082e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,10,4.684164999999893e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,10,4.681366000000935e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,10,4.669168000000354e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,10,4.6648509999999984e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,10,4.67068999999924e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,10,4.659158000000616e-06,100000,2019-11-22 14:48:38.084853
sort,sorted,20,5.2969030000008385e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,20,5.2987689999997656e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,20,5.284193999999616e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,20,5.283711999999241e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,20,5.278721000000815e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,20,5.2805650000004786e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,20,5.296396999999615e-06,100000,2019-11-22 14:48:42.376430
sort,sorted,40,6.508647000000565e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,40,6.547432999999501e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,40,6.55876400000011e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,40,6.557053000000224e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,40,6.585949000000256e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,40,6.570443999999043e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,40,6.533453000000691e-06,100000,2019-11-22 14:48:47.695398
sort,sorted,80,9.196011000000227e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,80,9.2619830000001e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,80,9.210455999999567e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,80,9.247978000000784e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,80,9.320187000000715e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,80,9.328215000000455e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,80,9.298479000000271e-06,100000,2019-11-22 14:48:55.211094
sort,sorted,160,1.4802402999999913e-05,100000,2019-11-22 14:49:07.276241
sort,sorted,160,1.4800005000000738e-05,100000,2019-11-22 14:49:07.276241
sort,sorted,160,1.4943472000001066e-05,100000,2019-11-22 14:49:07.276241
sort,sorted,160,1.490330599999993e-05,100000,2019-11-22 14:49:07.276241
sort,sorted,160,1.4956498999999894e-05,100000,2019-11-22 14:49:07.276241
sort,sorted,160,1.4905921000000716e-05,100000,2019-11-22 14:49:07.276241
sort,sorted,160,1.4836257000000615e-05,100000,2019-11-22 14:49:07.277240
sort,sorted,320,2.4958160000005592e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,320,2.4870980000002875e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,320,2.4747039999999744e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,320,2.477029000000357e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,320,2.511202000000594e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,320,2.5151610000000348e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,320,2.4967949999995652e-05,10000,2019-11-22 14:49:09.301087
sort,sorted,640,4.627764999999045e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,640,4.6383049999997184e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,640,4.6893729999999326e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,640,4.6062259999996515e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,640,4.5929809999995544e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,640,4.589942000000065e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,640,4.605238000000327e-05,10000,2019-11-22 14:49:13.049017
sort,sorted,1280,8.965848000000279e-05,10000,2019-11-22 14:49:20.320853
sort,sorted,1280,8.944304000000329e-05,10000,2019-11-22 14:49:20.320853
sort,sorted,1280,8.956080000000384e-05,10000,2019-11-22 14:49:20.320853
sort,sorted,1280,8.976312999999436e-05,10000,2019-11-22 14:49:20.320853
