Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sorted,random,10,1.2271504999998796e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,10,1.2281264999999167e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,10,1.2275918999998795e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,10,1.2252169000000778e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,10,1.2262858999999935e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,10,1.2257832999998754e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,10,1.2254497999999786e-06,1000000,2019-11-22 14:57:54.337299
sorted,random,20,2.225126000000728e-06,100000,2019-11-22 14:57:56.136275
sorted,random,20,2.2117389999993973e-06,100000,2019-11-22 14:57:56.136275
sorted,random,20,2.2122779999995144e-06,100000,2019-11-22 14:57:56.136275
sorted,random,20,2.2159239999996316e-06,100000,2019-11-22 14:57:56.136275
sorted,random,20,2.2120870000003378e-06,100000,2019-11-22 14:57:56.136275
sorted,random,20,2.222643000000062e-06,100000,2019-11-22 14:57:56.136275
sorted,random,20,2.221440000000712e-06,100000,2019-11-22 14:57:56.136275
sorted,random,40,5.026993999999831e-06,100000,2019-11-22 14:58:00.215927
sorted,random,40,5.029791000001751e-06,100000,2019-11-22 14:58:00.215927
sorted,random,40,5.035466000001634e-06,100000,2019-11-22 14:58:00.215927
sorted,random,40,5.055852000000414e-06,100000,2019-11-22 14:58:00.215927
sorted,random,40,5.0206759999991846e-06,100000,2019-11-22 14:58:00.215927
sorted,random,40,5.009157999998024e-06,100000,2019-11-22 14:58:00.215927
sorted,random,40,5.0337899999999535e-06,100000,2019-11-22 14:58:00.215927
sorted,random,80,1.2526585000000524e-05,100000,2019-11-22 14:58:10.388152
sorted,random,80,1.2548185999999078e-05,100000,2019-11-22 14:58:10.388152
sorted,random,80,1.253410600000052e-05,100000,2019-11-22 14:58:10.388152
sorted,random,80,1.2531440000000203e-05,100000,2019-11-22 14:58:10.388152
sorted,random,80,1.2550928999999087e-05,100000,2019-11-22 14:58:10.388152
sorted,random,80,1.2521097999999711e-05,100000,2019-11-22 14:58:10.388152
sorted,random,80,1.254805900000065e-05,100000,2019-11-22 14:58:10.388152
sorted,random,160,3.0300959999999577e-05,10000,2019-11-22 14:58:12.848728
sorted,random,160,3.0291039999997338e-05,10000,2019-11-22 14:58:12.848728
sorted,random,160,3.0272859999990944e-05,10000,2019-11-22 14:58:12.848728
sorted,random,160,3.0291169999986776e-05,10000,2019-11-22 14:58:12.848728
sorted,random,160,3.020221000001584e-05,10000,2019-11-22 14:58:12.848728
sorted,random,160,3.019415999999637e-05,10000,2019-11-22 14:58:12.848728
sorted,random,160,3.0901840000001354e-05,10000,2019-11-22 14:58:12.848728
sorted,random,320,7.121210000000247e-05,10000,2019-11-22 14:58:18.622436
sorted,random,320,7.109222999999929e-05,10000,2019-11-22 14:58:18.622436
sorted,random,320,7.100723999999445e-05,10000,2019-11-22 14:58:18.622436
sorted,random,320,7.120961999999053e-05,10000,2019-11-22 14:58:18.622436
sorted,random,320,7.119996000001265e-05,10000,2019-11-22 14:58:18.622436
sorted,random,320,7.121930999999223e-05,10000,2019-11-22 14:58:18.622436
sorted,random,320,7.11490700000013e-05,10000,2019-11-22 14:58:18.622436
sorted,random,640,0.00016520737999999255,10000,2019-11-22 14:58:32.011805
