Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sorted,reverse_sorted,10,9.567863000002035e-07,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,10,9.563862999998492e-07,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,10,9.60743900000125e-07,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,10,9.560943999999835e-07,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,10,1.0258871999999428e-06,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,10,1.0546543999998903e-06,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,10,9.58254499999839e-07,1000000,2019-11-22 15:29:01.908755
sorted,reverse_sorted,20,1.2406104000001506e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,20,1.2691574000000401e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,20,1.2380259000001389e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,20,1.239116400000057e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,20,1.2398834000000533e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,20,1.2385404999999992e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,20,1.2393594000000121e-06,1000000,2019-11-22 15:29:11.991030
sorted,reverse_sorted,40,1.7718629000000875e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,40,1.7703327999997783e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,40,1.7806018999999651e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,40,1.77453770000011e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,40,1.7690923000000112e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,40,1.7687581000000137e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,40,1.7702647999999498e-06,1000000,2019-11-22 15:29:26.416781
sorted,reverse_sorted,80,3.1398900000021967e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,80,3.1261730000005626e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,80,3.1302269999969213e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,80,3.132764000001771e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,80,3.1161249999968276e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,80,3.1197239999983138e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,80,3.1268739999995886e-06,100000,2019-11-22 15:29:28.954358
sorted,reverse_sorted,160,5.304910000004384e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,160,5.3022340000006805e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,160,5.3041859999984804e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,160,5.302448000002187e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,160,5.314687999998568e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,160,5.269986999996945e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,160,5.28320999999778e-06,100000,2019-11-22 15:29:33.250884
sorted,reverse_sorted,320,9.788168000000042e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,320,9.790200000002187e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,320,9.779014999999163e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,320,9.804982999999084e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,320,9.785273000002235e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,320,9.782301999998707e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,320,9.826308000001518e-06,100000,2019-11-22 15:29:41.204371
sorted,reverse_sorted,640,1.9006684999999378e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,640,1.904003599999669e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,640,1.9027013999998415e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,640,1.899919000000409e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,640,1.9068237000001317e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,640,1.900961400000142e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,640,1.9018267000001288e-05,100000,2019-11-22 15:29:56.634552
sorted,reverse_sorted,1280,3.8045910000028015e-05,10000,2019-11-22 15:29:59.722814
sorted,reverse_sorted,1280,3.801094999998895e-05,10000,2019-11-22 15:29:59.722814
sorted,reverse_sorted,1280,3.802497000001495e-05,10000,2019-11-22 15:29:59.722814
sorted,reverse_sorted,1280,3.7952180000002044e-05,10000,2019-11-22 15:29:59.722814
sorted,reverse_sorted,1280,3.814624000001459e-05,10000,2019-11-22 15:29:59.722814
sorted,reverse_sorted,1280,3.818188000000191e-05,10000,2019-11-22 15:29:59.722814
