Sort_Type,Data_Type_or_List_type,List_length,Runtimes,Number_of_repeatitions,Datetime
sorted,sorted,10,9.531409999999596e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,10,9.447095999998965e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,10,9.480639999997038e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,10,9.517178999999487e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,10,9.454897999999048e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,10,9.470500999996148e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,10,9.462353999997504e-07,1000000,2019-11-22 15:36:56.961765
sorted,sorted,20,1.262362800000119e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,20,1.3132343000002038e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,20,1.2677874000000883e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,20,1.2533760999999685e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,20,1.2491362000000663e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,20,1.232701200000065e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,20,1.2436425000000782e-06,1000000,2019-11-22 15:37:07.177033
sorted,sorted,40,1.7855091999999786e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,40,1.789886000000024e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,40,1.7724416999999448e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,40,1.7935637000000497e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,40,1.786305700000412e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,40,1.8242770000001656e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,40,1.8327589999998964e-06,1000000,2019-11-22 15:37:21.731865
sorted,sorted,80,3.1935339999972714e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,80,3.1075209999971775e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,80,3.1205990000034944e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,80,3.126353000002382e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,80,3.39887600000111e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,80,3.2931329999973968e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,80,3.1640939999988406e-06,100000,2019-11-22 15:37:24.332406
sorted,sorted,160,5.441980999999032e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,160,5.8464350000031115e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,160,5.4820860000018e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,160,5.413431000001765e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,160,5.841335000000072e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,160,5.5394699999988e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,160,5.423392000002423e-06,100000,2019-11-22 15:37:28.834879
sorted,sorted,320,1.0874026999999843e-05,100000,2019-11-22 15:37:37.196187
